2026-06-05 13:01:32,937 | INFO     | __main__ | [DB] Existing database deleted.
2026-06-05 13:02:15,376 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 294912-327680/7406805
2026-06-05 13:02:15,938 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 327680-360448/7406805
2026-06-05 13:02:16,477 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 360448-393216/7406805
2026-06-05 13:02:17,043 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 393216-425984/7406805
2026-06-05 13:02:17,637 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 425984-458752/7406805
2026-06-05 13:02:18,184 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008p.dat: 206 0-32768/1308868
2026-06-05 13:02:19,148 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008p.dat: 206 32768-65536/1308868
2026-06-05 13:02:19,662 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008p.dat: 206 65536-98304/1308868
2026-06-05 13:02:20,163 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008r.dat: 206 0-32768/716203
2026-06-05 13:02:20,663 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008r.dat: 206 32768-65536/716203
2026-06-05 13:02:20,851 | WARNING  | __main__ | [APNEA] 81739927 missing signals ['ABP'] — skipping
2026-06-05 13:02:21,106 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10019003/87033314/87033314.hea: 200 0-329/329
2026-06-05 13:02:21,378 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10019003/87033314/87033314_0000.hea: 200 0-223/223
2026-06-05 13:02:21,685 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10019003/87033314/87033314_0001.hea: 200 0-459/459
2026-06-05 13:02:21,959 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10019003/87033314/87033314_0002.hea: 200 0-259/259
2026-06-05 13:02:22,216 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10019003/87033314/87033314_0003.hea: 200 0-455/455
